Sale_Date,Sales_Order_ID,SKU,Lot_ID,Attributed_Qty,Attributed_Unit_Price,Attributed_Freight_Cost_Per_Unit,Attributed_Total_Unit_Cost,Attributed_COGS,Attributed_COGS_Unit_Only,Attributed_COGS_Freight_Only,Status,Month
2025-07-31,MONTHLY_SUMMARY_20250731_DDCL20OWCM,DDCL20OWCM,768,25,10.60,3.72,14.32,358.00,265.00,93.00,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCL22PXBK,DDCL22PXBK,910,8,11.10,5.81,16.91,135.28,88.80,46.48,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCL22PXBK,DDCL22PXBK,943,743,10.60,18.53,29.13,21643.59,7875.80,13767.79,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCL22PXBK,DDCL22PXBK,941,1567,10.60,7.10,17.70,27735.90,16610.20,11125.70,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCL4P4LBK,DDCL4P4LBK,911,342,2.54,1.34,3.88,1326.96,868.68,458.28,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCL4PWH4L,DDCL4PWH4L,779,164,2.50,0.89,3.39,555.96,410.00,145.96,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCLBGYR4P,DDCLBGYR4P,726,74,2.54,0.91,3.45,255.30,187.96,67.34,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DDCLWH22PX,DDCLWH22PX,843,379,11.10,5.35,16.45,6234.55,4206.90,2027.65,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DPOT1512WT,DPOT1512WT,844,1,1.83,1.55,3.38,3.38,1.83,1.55,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_ETKBK4P2ST,ETKBK4P2ST,853,120,13.93,1.49,15.42,1850.40,1671.60,178.80,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FBPT4YL24P,FBPT4YL24P,900,604,7.09,3.26,10.35,6251.40,4282.36,1969.04,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FPBD1713BW,FPBD1713BW,740,141,3.14,0.24,3.38,476.58,442.74,33.84,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FPBDMB1713,FPBDMB1713,741,45,4.95,0.54,5.49,247.05,222.75,24.30,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FPBDMW1713,FPBDMW1713,771,65,4.95,0.37,5.32,345.80,321.75,24.05,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FPBMB1713P,FPBMB1713P,819,71,6.46,1.41,7.87,558.77,458.66,100.11,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FPBMB1713P,FPBMB1713P,862,141,6.34,1.94,8.28,1167.48,893.94,273.54,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_FPBMW1713H,FPBMW1713H,805,99,6.61,1.58,8.19,810.81,654.39,156.42,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_GTBC131449,GTBC131449,830,455,16.79,5.36,22.15,10078.25,7639.45,2438.80,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_KSB10008015,KSB10008015,872,540,2.25,0.60,2.85,1539.00,1215.00,324.00,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LCSB843216,LCSB843216,928,298,3.21,1.64,4.85,1445.30,956.58,488.72,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LPGB60PC40,LPGB60PC40,936,279,3.20,0.74,3.94,1099.26,892.80,206.46,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LPGB7260PC,LPGB7260PC,866,220,5.22,1.36,6.58,1447.60,1148.40,299.20,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LPTSB11174,LPTSB11174,931,80,2.66,1.06,3.72,297.60,212.80,84.80,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LSSB686242,LSSB686242,837,273,1.92,0.46,2.38,649.74,524.16,125.58,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LSSB686242,LSSB686242,892,1229,1.92,0.38,2.30,2826.70,2359.68,467.02,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_LTBD10577A,LTBD10577A,851,146,3.70,1.96,5.66,826.36,540.20,286.16,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_OT1GLB1053,OT1GLB1053,973,73,2.86,1.35,4.21,307.33,208.78,98.55,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_OT2GLB1010,OT2GLB1010,972,52,3.93,2.44,6.37,331.24,204.36,126.88,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_OT3GLB1016,OT3GLB1016,971,75,4.91,3.59,8.50,637.50,368.25,269.25,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_PBSB582835,PBSB582835,929,145,2.39,0.74,3.13,453.85,346.55,107.30,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_PETS1KGRWB,PETS1KGRWB,923,612,8.00,4.24,12.24,7490.88,4896.00,2594.88,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_PETS500FGR,PETS500FGR,984,4,5.00,3.05,8.05,32.20,20.00,12.20,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_PPSB4P2212,PPSB4P2212,974,1263,4.40,5.29,9.69,12238.47,5557.20,6681.27,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_PPST1000BK,PPST1000BK,912,223,4.15,2.26,6.41,1429.43,925.45,503.98,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_QSB1006415,QSB1006415,895,925,1.89,0.57,2.46,2275.50,1748.25,527.25,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_RSBL912130,RSBL912130,897,916,0.94,0.31,1.25,1145.00,861.04,283.96,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_RSBS692092,RSBS692092,870,701,0.65,0.14,0.79,553.79,455.65,98.14,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_RTPBMB177H,RTPBMB177H,861,145,12.79,1.98,14.77,2141.65,1854.55,287.10,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_SFSB966242,SFSB966242,891,2815,2.52,0.49,3.01,8473.15,7093.80,1379.35,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_STBD10555A,STBD10555A,760,58,3.39,1.06,4.45,258.10,196.62,61.48,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_STBD10555A,STBD10555A,905,123,3.29,1.54,4.83,594.09,404.67,189.42,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_TBDCL10105,TBDCL10105,875,25,6.71,2.41,9.12,228.00,167.75,60.25,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_TBDCL10105,TBDCL10105,906,673,6.71,3.06,9.77,6575.21,4515.83,2059.38,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_TCST17132B,TCST17132B,881,310,2.53,1.76,4.29,1329.90,784.30,545.60,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_TWBD1064BK,TWBD1064BK,883,334,3.21,1.02,4.23,1412.82,1072.14,340.68,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_TWSB954215,TWSB954215,873,543,1.36,0.34,1.70,923.10,738.48,184.62,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_USBL1215ZL,USBL1215ZL,849,49,1.71,0.49,2.20,107.80,83.79,24.01,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_USBS7115ZL,USBS7115ZL,848,173,1.20,0.40,1.60,276.80,207.60,69.20,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_WVST1000WH,WVST1000WH,880,118,11.80,2.42,14.22,1677.96,1392.40,285.56,Fulfilled,2025-07
